match_id,home_team,away_team,year,goal_times
2022_0,Argentina,France,2022,36;108;81
2022_1,Croatia,Morocco,2022,7;42;9
2022_2,France,Morocco,2022,5;79
2022_3,Argentina,Croatia,2022,39;69
2022_4,Morocco,Portugal,2022,42
2022_5,England,France,2022,17;78
2022_6,Croatia,Brazil,2022,117;105
2022_7,Netherlands,Argentina,2022,83;90;35
2022_8,Morocco,Spain,2022,
2022_9,Portugal,Switzerland,2022,17;33;51;55;67;90;58
2022_10,Japan,Croatia,2022,43;55
2022_11,Brazil,Korea Republic,2022,7;29;36;76
2022_12,France,Poland,2022,44;74;90
2022_13,England,Senegal,2022,39;45;57
2022_14,Netherlands,United States,2022,10;45;81;76
2022_15,Argentina,Australia,2022,35;57
2022_16,Korea Republic,Portugal,2022,27;90;5
2022_17,Ghana,Uruguay,2022,26;32
2022_18,Cameroon,Brazil,2022,90
2022_19,Serbia,Switzerland,2022,26;35;20;44;48
2022_20,Canada,Morocco,2022,4;23
2022_21,Croatia,Belgium,2022,
2022_22,Costa Rica,Germany,2022,58;10;73;85;90
2022_23,Japan,Spain,2022,48;51;12
2022_24,Australia,Denmark,2022,60
2022_25,Tunisia,France,2022,58
2022_26,Saudi Arabia,Mexico,2022,90;47;52
2022_27,Poland,Argentina,2022,46;67
2022_28,Ecuador,Senegal,2022,67;70
2022_29,Netherlands,Qatar,2022,26;49
2022_30,IR Iran,United States,2022,38
2022_31,Wales,England,2022,50;52;68
2022_32,Cameroon,Serbia,2022,29;64;66;45;45;53
2022_33,Korea Republic,Ghana,2022,58;61;24;34;68
2022_34,Brazil,Switzerland,2022,83
2022_35,Portugal,Uruguay,2022,54
2022_36,Japan,Costa Rica,2022,81
2022_37,Belgium,Morocco,2022,73;90
2022_38,Croatia,Canada,2022,36;44;70;90;2
2022_39,Spain,Germany,2022,62;83
2022_40,Tunisia,Australia,2022,23
2022_41,Poland,Saudi Arabia,2022,39;82
2022_42,France,Denmark,2022,61;86;68
2022_43,Argentina,Mexico,2022,64;87
2022_44,Wales,IR Iran,2022,90;90
2022_45,Qatar,Senegal,2022,78;41;48;84
2022_46,Netherlands,Ecuador,2022,6;49
2022_47,England,United States,2022,
2022_48,Switzerland,Cameroon,2022,48
2022_49,Uruguay,Korea Republic,2022,
2022_50,Portugal,Ghana,2022,78;80;73;89
2022_51,Brazil,Serbia,2022,62;73
2022_52,Morocco,Croatia,2022,
2022_53,Germany,Japan,2022,75;83
2022_54,Spain,Costa Rica,2022,11;21;54;74;90;90
2022_55,Belgium,Canada,2022,44
2022_56,Argentina,Saudi Arabia,2022,48;53
2022_57,Denmark,Tunisia,2022,
