year,match_id,team,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h
2022,2022_0,Argentina,1,1,0,1
2022,2022_0,France,0,1,1,1
2022,2022_1,Croatia,2,0,1,0
2022,2022_1,Morocco,1,0,2,0
2022,2022_2,France,1,1,0,0
2022,2022_2,Morocco,0,0,1,1
2022,2022_3,Argentina,1,1,0,0
2022,2022_3,Croatia,0,0,1,1
2022,2022_4,Morocco,1,0,0,0
2022,2022_4,Portugal,0,0,1,0
2022,2022_5,England,0,0,1,1
2022,2022_5,France,1,1,0,0
2022,2022_6,Croatia,0,1,0,1
2022,2022_6,Brazil,0,1,0,1
2022,2022_7,Netherlands,0,2,1,0
2022,2022_7,Argentina,1,0,0,2
2022,2022_8,Morocco,0,0,0,0
2022,2022_8,Spain,0,0,0,0
2022,2022_9,Portugal,2,4,0,1
2022,2022_9,Switzerland,0,1,2,4
2022,2022_10,Japan,1,0,0,1
2022,2022_10,Croatia,0,1,1,0
2022,2022_11,Brazil,3,0,0,1
2022,2022_11,Korea Republic,0,1,3,0
2022,2022_12,France,1,2,0,0
2022,2022_12,Poland,0,0,1,2
2022,2022_13,England,2,1,0,0
2022,2022_13,Senegal,0,0,2,1
2022,2022_14,Netherlands,2,1,0,1
2022,2022_14,United States,0,1,2,1
2022,2022_15,Argentina,1,1,0,0
2022,2022_15,Australia,0,0,1,1
2022,2022_16,Korea Republic,1,1,1,0
2022,2022_16,Portugal,1,0,1,1
2022,2022_17,Ghana,0,0,2,0
2022,2022_17,Uruguay,2,0,0,0
2022,2022_18,Cameroon,0,1,0,0
2022,2022_18,Brazil,0,0,0,1
2022,2022_19,Serbia,2,0,2,1
2022,2022_19,Switzerland,2,1,2,0
2022,2022_20,Canada,0,0,2,0
2022,2022_20,Morocco,2,0,0,0
2022,2022_21,Croatia,0,0,0,0
2022,2022_21,Belgium,0,0,0,0
2022,2022_22,Costa Rica,0,1,1,3
2022,2022_22,Germany,1,3,0,1
