Country,wc_year,rating,adapted
Afghanistan,1930,NA,FALSE
Albania,1930,NA,FALSE
Algeria,1930,NA,FALSE
Andorra,1930,NA,FALSE
Angola,1930,NA,FALSE
Anguilla,1930,NA,FALSE
Antigua and Barbuda,1930,NA,FALSE
Argentina,1930,NA,FALSE
Armenia,1930,NA,FALSE
Aruba,1930,NA,FALSE
Australia,1930,NA,FALSE
Austria,1930,NA,FALSE
Azerbaijan,1930,NA,FALSE
Bahamas,1930,NA,FALSE
Bahrain,1930,NA,FALSE
Bangladesh,1930,NA,FALSE
Barbados,1930,NA,FALSE
Belarus,1930,NA,FALSE
Belgium,1930,NA,FALSE
Belize,1930,NA,FALSE
Benin,1930,NA,FALSE
Bermuda,1930,NA,FALSE
Bhutan,1930,NA,FALSE
Bolivia,1930,NA,FALSE
Bolivia,1930,NA,FALSE
Bonaire,1930,NA,FALSE
Bosnia and Herzegovina,1930,NA,FALSE
Botswana,1930,NA,FALSE
Brazil,1930,NA,FALSE
British Guiana,1930,NA,FALSE
British Virgin Islands,1930,NA,FALSE
Brunei,1930,NA,FALSE
Bulgaria,1930,NA,FALSE
Burkina Faso,1930,NA,FALSE
Burma,1930,NA,FALSE
Burundi,1930,NA,FALSE
Cambodia,1930,NA,FALSE
Cameroon,1930,NA,FALSE
Canada,1930,NA,FALSE
Cape Verde,1930,NA,FALSE
Cayman Islands,1930,NA,FALSE
Central African Republic,1930,NA,FALSE
Ceylon,1930,NA,FALSE
Chad,1930,NA,FALSE
Chagos Islands,1930,NA,FALSE
Chile,1930,NA,FALSE
China,1930,NA,FALSE
Christmas Island,1930,NA,FALSE
Cocos Islands,1930,NA,FALSE
Colombia,1930,NA,FALSE
Comoros,1930,NA,FALSE
Congo,1930,NA,FALSE
Congo-Brazzaville,1930,NA,FALSE
Cook Islands,1930,NA,FALSE
Costa Rica,1930,NA,FALSE
Croatia,1930,NA,FALSE
Cuba,1930,NA,FALSE
Curaçao,1930,NA,FALSE
Cyprus,1930,NA,FALSE
Czechia,1930,NA,FALSE
Czechoslovakia,1930,NA,FALSE
Dahomey,1930,NA,FALSE
Democratic Republic of Congo,1930,NA,FALSE
Denmark,1930,NA,FALSE
Djibouti,1930,NA,FALSE
Dominica,1930,NA,FALSE
Dominican Republic,1930,NA,FALSE
East Germany,1930,NA,FALSE
