year,match_id,team,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h,date,stadium_name,latitude,longitude,wc_year,rest_days,prev_lat,prev_lon,travel_km
2010,2010_248,Algeria,0,0,0,1,2010-06-13,Peter Mokaba Stadium,,,2010,-1,,,
2010,2010_235,Algeria,0,0,0,0,2010-06-18,Cape Town Stadium,,,2010,5,,,
2010,2010_217,Algeria,0,0,0,1,2010-06-23,Loftus Versfeld Stadium,,,2010,5,,,
2014,2014_175,Algeria,0,0,0,2,2014-06-17,Estádio Governador Magalhães Pinto,,,2014,-1,,,
2014,2014_161,Algeria,3,1,0,2,2014-06-22,Estádio José Pinheiro Borba,,,2014,5,,,
2014,2014_147,Algeria,0,1,1,0,2014-06-26,Estádio Joaquim Américo Guimarães,,,2014,4,,,
2014,2014_139,Algeria,0,1,0,2,2014-06-30,Estádio José Pinheiro Borba,,,2014,4,,,
2006,2006_314,Angola,0,0,1,0,2006-06-11,RheinEnergieSTADION,,,2006,-1,,,
2006,2006_299,Angola,0,0,0,0,2006-06-16,HDI-Arena,,,2006,5,,,
2006,2006_281,Angola,0,1,0,1,2006-06-21,Red Bull Arena,,,2006,5,,,
2002,2002_376,Argentina,0,1,0,0,2002-06-02,Kashima Soccer Stadium,,,2002,-1,,,
2002,2002_363,Argentina,0,0,0,0,2002-06-07,Sapporo Dome,,,2002,5,,,
2002,2002_344,Argentina,0,1,0,1,2002-06-12,Miyagi Stadium,,,2002,5,,,
2006,2006_317,Argentina,2,0,0,1,2006-06-10,Volksparkstadion,,,2006,-1,,,
2006,2006_297,Argentina,3,3,0,0,2006-06-16,Veltins-Arena,,,2006,6,,,
2006,2006_283,Argentina,0,0,0,0,2006-06-21,Commerzbank-Arena,,,2006,5,,,
2006,2006_271,Argentina,1,0,1,0,2006-06-24,Red Bull Arena,,,2006,3,,,
2006,2006_262,Argentina,0,1,0,1,2006-06-30,Olympiastadion Berlin,52.5173885,13.3951309,2006,6,,,
2010,2010_252,Argentina,1,0,0,0,2010-06-12,Emirates Airline Park,,,2010,-1,,,
2010,2010_236,Argentina,1,2,1,0,2010-06-17,Soccer City,-26.205,28.049722,2010,5,,,
2010,2010_223,Argentina,0,2,0,0,2010-06-22,Peter Mokaba Stadium,,,2010,5,-26.205,28.049722,
2010,2010_205,Argentina,2,1,0,1,2010-06-27,Soccer City,-26.205,28.049722,2010,5,,,
2010,2010_196,Argentina,0,0,1,3,2010-07-03,Cape Town Stadium,,,2010,6,-26.205,28.049722,
2014,2014_183,Argentina,0,1,0,1,2014-06-15,Estadio Jornalista Mário Filho,,,2014,-1,,,
2014,2014_163,Argentina,0,1,0,0,2014-06-21,Estádio Governador Magalhães Pinto,,,2014,6,,,
2014,2014_149,Argentina,2,1,1,1,2014-06-25,Estádio José Pinheiro Borba,,,2014,4,,,
2014,2014_136,Argentina,0,1,0,0,2014-07-01,Arena Corinthians,-23.5506507,-46.6333824,2014,6,,,
