team,half,year,team_xg
Argentina,1H,2018,1.7502445783
Argentina,1H,2022,6.275962934
Argentina,2H,2018,3.8454509194
Argentina,2H,2022,14.712479982000001
Australia,1H,2018,2.003817314
Australia,1H,2022,0.6613009567
Australia,2H,2018,2.017675264
Australia,2H,2022,0.916870549
Belgium,1H,2018,4.922290933999999
Belgium,1H,2022,1.2642176170000001
Belgium,2H,2018,7.8021353555
Belgium,2H,2022,2.4302754108
Brazil,1H,2018,3.6833754745
Brazil,1H,2022,4.0432355797
Brazil,2H,2018,8.629003234199999
Brazil,2H,2022,9.5933574015
Cameroon,1H,2022,1.5205349259999998
Cameroon,2H,2022,1.5462085241999999
Canada,1H,2022,2.067806789
Canada,2H,2022,1.86081874
Colombia,1H,2018,1.2049874458
Colombia,2H,2018,6.021723425999999
Costa Rica,1H,2018,0.804251818
Costa Rica,1H,2022,0.220108489
Costa Rica,2H,2018,1.5266760056999997
Costa Rica,2H,2022,1.0140039619999999
Croatia,1H,2018,3.9191701575
Croatia,1H,2022,2.8431583959999998
Croatia,2H,2018,15.5582526227
Croatia,2H,2022,10.3265440029
Denmark,1H,2018,1.211690762
Denmark,1H,2022,0.561165611
Denmark,2H,2018,5.677274489799999
Denmark,2H,2022,2.631091621
Ecuador,1H,2022,1.172035751
Ecuador,2H,2022,2.6346926394
Egypt,1H,2018,1.502982603
Egypt,2H,2018,1.4827500450000002
England,1H,2018,7.019251801999999
England,1H,2022,2.342743325
England,2H,2018,8.7782519063
England,2H,2022,6.393112874
France,1H,2018,5.4872626877
France,1H,2022,4.883144214
France,2H,2018,3.311314789
France,2H,2022,10.072713969
Germany,1H,2018,1.4430612985
Germany,1H,2022,2.4954951667
Germany,2H,2018,4.8806829447
Germany,2H,2022,5.735582765
Ghana,1H,2022,1.586131237
Ghana,2H,2022,1.7671220417
Iceland,1H,2018,1.9597987445
Iceland,2H,2018,2.7571746184999997
Iran,1H,2018,0.9600304967
Iran,1H,2022,0.12505928500000002
Iran,2H,2018,1.740954221
Iran,2H,2022,3.7053472033
Japan,1H,2018,2.2589586172
Japan,1H,2022,0.972714699
Japan,2H,2018,2.6283073695
Japan,2H,2022,6.410855815
Mexico,1H,2018,2.6813454866999997
Mexico,1H,2022,1.4454907589000001
Mexico,2H,2018,2.382998348
Mexico,2H,2022,1.6121591520999998
Morocco,1H,2018,2.0164856835
Morocco,1H,2022,2.221128018
Morocco,2H,2018,1.5695728915
Morocco,2H,2022,6.457241924
Netherlands,1H,2022,1.612287024
Netherlands,2H,2022,7.299000016000001
Nigeria,1H,2018,0.5030580570000001
Nigeria,2H,2018,2.8767680477
Panama,1H,2018,0.5247727863
Panama,2H,2018,1.871416532
Peru,1H,2018,1.4919641172999998
Peru,2H,2018,1.3960103973
Poland,1H,2018,0.9408209869999999
Poland,1H,2022,1.107264075
Poland,2H,2018,2.256414286
Poland,2H,2022,3.555957007
Portugal,1H,2018,2.4699890408
Portugal,1H,2022,2.8245293997
Portugal,2H,2018,2.3675875441
Portugal,2H,2022,4.4881810286
Qatar,1H,2022,0.14825844950000003
Qatar,2H,2022,1.259733249
Russia,1H,2018,1.252688792
Russia,2H,2018,6.1786866
Saudi Arabia,1H,2018,1.5968654943
Saudi Arabia,1H,2022,1.379370686
Saudi Arabia,2H,2018,1.471242314
Saudi Arabia,2H,2022,1.822178582
Senegal,1H,2018,1.235976226
Senegal,1H,2022,2.8067435544999997
Senegal,2H,2018,2.430903775
Senegal,2H,2022,1.467984917
Serbia,1H,2018,1.479629875
Serbia,1H,2022,1.2008041839999999
Serbia,2H,2018,2.614743868
Serbia,2H,2022,1.889593778
South Korea,1H,2018,0.571038537
South Korea,1H,2022,1.3859460304
South Korea,2H,2018,2.439757018
South Korea,2H,2022,2.2186490589999996
Spain,1H,2018,2.026332129
Spain,1H,2022,2.5676409810000003
Spain,2H,2018,4.436062025
Spain,2H,2022,4.5369862764
Sweden,1H,2018,3.09572424
Sweden,2H,2018,4.269706376
Switzerland,1H,2018,1.7790283222999999
Switzerland,1H,2022,2.672125062
Switzerland,2H,2018,2.0030543187
Switzerland,2H,2022,3.418391293
Tunisia,1H,2018,2.1470727948
Tunisia,1H,2022,1.3371936660000001
Tunisia,2H,2018,2.8392135038
Tunisia,2H,2022,1.073258783
United States,1H,2022,2.2389452326
United States,2H,2022,1.699592709
Uruguay,1H,2018,3.187262748
Uruguay,1H,2022,2.173543028
Uruguay,2H,2018,4.2127269248
Uruguay,2H,2022,1.0969908286
Wales,1H,2022,0.384377818
Wales,2H,2022,1.834602883
