year,match_id,stadium_name,city,country,latitude,longitude,elevation_m,team,opponent,team_elo,opp_elo,elo_diff,adapted_flag,rest_days,travel_km,temp_c,humidity,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h,team_xg_1h,team_xg_2h
2022,2022_0,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Argentina,France,NA,NA,NA,FALSE,5,NA,NA,NA,1,1,0,1,6.275962934,14.712479982
2022,2022_0,Lusail Iconic Stadium,NA,NA,NA,NA,NA,France,Argentina,NA,NA,NA,FALSE,4,NA,NA,NA,0,1,1,1,4.883144214,10.072713969
2022,2022_1,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Croatia,Morocco,NA,NA,NA,FALSE,4,NA,25,60,2,0,1,0,2.843158396,10.3265440029
2022,2022_1,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Morocco,Croatia,NA,NA,NA,FALSE,3,52.80999820276664,25,60,1,0,2,0,2.221128018,6.457241924
2022,2022_2,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,France,Morocco,NA,NA,NA,FALSE,4,0,25,60,1,1,0,0,4.883144214,10.072713969
2022,2022_2,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Morocco,France,NA,NA,NA,FALSE,4,52.80999820276664,25,60,0,0,1,1,2.221128018,6.457241924
2022,2022_3,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Argentina,Croatia,NA,NA,NA,FALSE,4,NA,NA,NA,1,1,0,0,6.275962934,14.712479982
2022,2022_3,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Croatia,Argentina,NA,NA,NA,FALSE,4,NA,NA,NA,0,0,1,1,2.843158396,10.3265440029
2022,2022_4,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Morocco,Portugal,NA,NA,NA,FALSE,4,43.43267385096884,25,60,1,0,0,0,2.221128018,6.457241924
2022,2022_4,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Portugal,Morocco,NA,NA,NA,FALSE,4,NA,25,60,0,0,1,0,2.8245293997,4.4881810286
2022,2022_5,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,England,France,2050,NA,NA,FALSE,6,0,25,60,0,0,1,1,2.342743325,6.393112874
2022,2022_5,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,France,England,NA,2050,NA,FALSE,6,52.80999820276664,25,60,1,1,0,0,4.883144214,10.072713969
2022,2022_6,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Croatia,Brazil,NA,NA,NA,FALSE,4,26.827473283833054,25,60,0,1,0,1,2.843158396,10.3265440029
2022,2022_6,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Brazil,Croatia,NA,NA,NA,FALSE,4,NA,25,60,0,1,0,1,4.0432355797,9.5933574015
2022,2022_7,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Netherlands,Argentina,NA,NA,NA,FALSE,6,NA,NA,NA,0,2,1,0,1.612287024,7.299000016000001
2022,2022_7,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Argentina,Netherlands,NA,NA,NA,FALSE,6,NA,NA,NA,1,0,0,2,6.275962934,14.712479982
2022,2022_8,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Morocco,Spain,NA,NA,NA,FALSE,5,43.43267385096884,25,60,0,0,0,0,2.221128018,6.457241924
2022,2022_8,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Spain,Morocco,NA,NA,NA,FALSE,5,43.43267385096884,25,60,0,0,0,0,2.5676409810000003,4.5369862764
2022,2022_9,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Portugal,Switzerland,NA,NA,NA,FALSE,4,NA,NA,NA,2,4,0,1,2.8245293997,4.4881810286
2022,2022_9,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Switzerland,Portugal,NA,NA,NA,FALSE,4,NA,NA,NA,0,1,2,4,2.672125062,3.418391293
2022,2022_10,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Japan,Croatia,NA,NA,NA,FALSE,4,35.54344686853213,25,60,1,0,0,1,0.972714699,6.410855815
2022,2022_10,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Croatia,Japan,NA,NA,NA,FALSE,4,NA,25,60,0,1,1,0,2.843158396,10.3265440029
2022,2022_11,Stadium 974,NA,NA,NA,NA,NA,Brazil,Korea Republic,NA,NA,NA,FALSE,3,NA,NA,NA,3,0,0,1,4.0432355797,9.5933574015
2022,2022_11,Stadium 974,NA,NA,NA,NA,NA,Korea Republic,Brazil,NA,NA,NA,NA,3,NA,NA,NA,0,1,3,0,NA,NA
